CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1100.1408466073256
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;168.11250813
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;43.62932650180148
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;440.1423837955537
OUTFLOW;ET RAIN;Urban;26.30434848387483
OUTFLOW;ET RAIN;Agri;189.1068296761752
OUTFLOW;ET INCREMENTAL;Natural;272.62318144156336
OUTFLOW;ET INCREMENTAL;Urban;28.58162360397504
OUTFLOW;ET INCREMENTAL;Agri;85.89445624098497
OUTFLOW;ET INCREMENTAL;Manmade;85.99730771698198
OUTFLOW;ET INCREMENTAL;Consumed Water;102.851475997
OUTFLOW;SURFACE WATER;Surface wateroutflow;166.378382
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;129.18438480599997
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
