CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;927.6743345457082
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;169.04025749
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-31.764962684333305
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;372.919111189273
OUTFLOW;ET RAIN;Urban;24.414201593517397
OUTFLOW;ET RAIN;Agri;127.98677642296128
OUTFLOW;ET INCREMENTAL;Natural;198.04504124354293
OUTFLOW;ET INCREMENTAL;Urban;23.80890827344994
OUTFLOW;ET INCREMENTAL;Agri;36.02354709963044
OUTFLOW;ET INCREMENTAL;Manmade;36.170190039159436
OUTFLOW;ET INCREMENTAL;Consumed Water;146.642939529
OUTFLOW;SURFACE WATER;Surface wateroutflow;135.10910399999997
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;130.25620358499998
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
